# Size  FLOAT_C  FLOAT_SSE2  FLOAT_CUDA_REDUC  FLOAT_CUDA_INV  BIT_C  BIT_SSE2  BIT_CUDA_REDUC  BIT_CUDA_INV  SIGN_C  SIGN_SSE2  SIGN_CUDA_REDUC  SIGN_CUDA_INV 
 1000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000050  0.000000  0.000000  0.000000  0.000050  0.000000  0.000000  
  2000  0.000000  0.000010  0.000000  0.000000  0.000000  0.000100  0.000000  0.000000  0.000000  0.000100  0.000000  0.000000  
  3000  0.000000  0.000000  0.000010  0.000000  0.000000  0.000140  0.000000  0.000000  0.000000  0.000140  0.000000  0.000000  
  4000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000180  0.000000  0.000000  0.000000  0.000200  0.000000  0.000000  
  5000  0.000010  0.000000  0.000010  0.000000  0.000000  0.000230  0.000000  0.000000  0.000000  0.000240  0.000000  0.000000  
  6000  0.000010  0.000010  0.000000  0.000000  0.000000  0.000280  0.000000  0.000000  0.000000  0.000310  0.000000  0.000000  
  7000  0.000010  0.000010  0.000010  0.000000  0.000000  0.000320  0.000000  0.000000  0.000000  0.000350  0.000000  0.000000  
  8000  0.000000  0.000010  0.000010  0.000010  0.000000  0.000350  0.000000  0.000000  0.000000  0.000390  0.000000  0.000000  
  9000  0.000000  0.000010  0.000000  0.000010  0.000000  0.000400  0.000000  0.000000  0.000000  0.000440  0.000000  0.000000  
  10000  0.000010  0.000010  0.000000  0.000020  0.000000  0.000450  0.000000  0.000000  0.000000  0.000490  0.000000  0.000000  
 
